Séquence	Souche	Début	Fin	Longueur	Type	%GC
CP002913.1	X1	107675	107748	74	tRNA	66
CP002913.1	X1	1389588	1389661	74	tRNA	58
CP002913.1	X1	35324	35396	73	tRNA	69
CP002913.1	X1	107795	107871	77	tRNA	59
CP002913.1	X1	108415	108489	75	tRNA	58
CP002913.1	X1	328206	328280	75	tRNA	64
CP002913.1	X1	1686742	1686816	75	tRNA	60
CP002913.1	X1	107880	107953	74	tRNA	59
CP002913.1	X1	331859	331935	77	tRNA	58
CP002913.1	X1	1390075	1390162	88	tRNA	60
CP002913.1	X1	1393768	1393841	74	tRNA	71
CP002913.1	X1	1582888	1582962	75	tRNA	62
CP002913.1	X1	1592925	1593009	85	tRNA	57
CP002913.1	X1	1687048	1687121	74	tRNA	56
CP002913.1	X1	1350909	1350983	75	tRNA	61
CP002913.1	X1	1356275	1356347	73	tRNA	57
CP002913.1	X1	1356366	1356438	73	tRNA	63
CP002913.1	X1	108213	108287	75	tRNA	58
CP002913.1	X1	379053	379131	79	tRNA	56
CP002913.1	X1	1142933	1143006	74	tRNA	60
CP002913.1	X1	1686555	1686639	85	tRNA	56
CP002913.1	X1	1686653	1686727	75	tRNA	64
BX950229.1	S2	36828	37057	230	RNase P RNA	43
U38487.1	C6	1	1415	1415	16S rRNA	55
U38486.1	C5	1	1415	1415	16S rRNA	55
U38941.1	C7	1	1415	1415	16S rRNA	55
U38484.1	JJ	1	1413	1413	16S rRNA	54
U38485.1	RC	1	1415	1415	16S rRNA	55
CP002913.1	X1	32085	32199	115	5S rRNA	49
CP002913.1	X1	32261	35217	2957	23S rRNA	52
CP002913.1	X1	108082	108196	115	5S rRNA	49
CP002913.1	X1	244	3200	2957	23S rRNA	52
CP002913.1	X1	68	182	115	5S rRNA	49
CP002913.1	X1	3339	4820	1482	16S rRNA	56
BX950229.1	S2	1461663	1461969	307	SRP RNA	48
U39022.1	JJ	1	233	233	23S rRNA	47
U39024.1	JJ	1	275	275	23S rRNA	47
U39021.1	JJ	1	262	262	23S rRNA	55
CP000745.1	C7	1072206	1072279	74	tRNA	60
CP000745.1	C7	1072561	1072634	74	tRNA	60
CP000745.1	C7	537473	537545	73	tRNA	57
CP000745.1	C7	537564	537636	73	tRNA	63
CP000745.1	C7	574177	574264	88	tRNA	60
CP000745.1	C7	778039	778123	85	tRNA	57
CP000745.1	C7	893825	893899	75	tRNA	64
CP000745.1	C7	893915	893989	75	tRNA	60
CP000745.1	C7	1071911	1071984	74	tRNA	66
CP000867.1	C6	962301	962375	75	tRNA	64
CP000745.1	C7	326065	326141	77	tRNA	61
CP000745.1	C7	996218	996290	73	tRNA	69
CP000745.1	C7	1039771	1039844	74	tRNA	63
CP000745.1	C7	1072116	1072189	74	tRNA	59
CP000745.1	C7	1156272	1156356	85	tRNA	56
CP000745.1	C7	1300479	1300556	78	tRNA	69
CP000745.1	C7	1300584	1300658	75	tRNA	64
CP000745.1	C7	1346644	1346719	76	tRNA	56
CP000745.1	C7	1346814	1346892	79	tRNA	56
CP000745.1	C7	1683694	1683767	74	tRNA	63
CP000867.1	C6	324	410	87	tRNA	62
CP000867.1	C6	156068	156141	74	tRNA	63
CP000867.1	C6	565087	565164	78	tRNA	67
CP000867.1	C6	818318	818391	74	tRNA	63
CP000867.1	C6	860656	860728	73	tRNA	69
CP000867.1	C6	962096	962172	77	tRNA	61
CP000867.1	C6	962390	962474	85	tRNA	56
CP000867.1	C6	1130779	1130855	77	tRNA	58
CP000745.1	C7	573736	573809	74	tRNA	59
CP000745.1	C7	778253	778367	115	tRNA	60
CP000745.1	C7	893726	893810	85	tRNA	56
CP000745.1	C7	1040102	1040177	76	tRNA	59
CP000745.1	C7	1072031	1072107	77	tRNA	59
CP000867.1	C6	785542	785615	74	tRNA	60
CP000867.1	C6	785895	785968	74	tRNA	60
CP000867.1	C6	785985	786058	74	tRNA	59
CP000867.1	C6	786067	786143	77	tRNA	59
CP000867.1	C6	1293272	1293344	73	tRNA	63
CP000867.1	C6	1293363	1293435	73	tRNA	57
CP000745.1	C7	532127	532204	78	tRNA	60
CP000745.1	C7	577871	577944	74	tRNA	71
CP000745.1	C7	699663	699739	77	tRNA	58
CP000745.1	C7	769262	769336	75	tRNA	64
CP000745.1	C7	893621	893695	75	tRNA	65
CP000745.1	C7	894028	894104	77	tRNA	61
CP000745.1	C7	1469295	1469379	85	tRNA	63
CP000867.1	C6	415149	415233	85	tRNA	63
CP000867.1	C6	485456	485534	79	tRNA	56
CP000867.1	C6	485699	485774	76	tRNA	56
CP000867.1	C6	561335	561411	77	tRNA	58
CP000867.1	C6	962505	962579	75	tRNA	65
CP000867.1	C6	1051816	1051930	115	tRNA	60
CP000867.1	C6	707084	707168	85	tRNA	56
CP000867.1	C6	785445	785519	75	tRNA	61
CP000867.1	C6	962211	962285	75	tRNA	60
CP000867.1	C6	1052060	1052144	85	tRNA	57
CP000867.1	C6	1252479	1252552	74	tRNA	71
CP000867.1	C6	1256160	1256247	88	tRNA	60
CP000867.1	C6	1256617	1256690	74	tRNA	59
CP000867.1	C6	786190	786263	74	tRNA	66
CP000745.1	C7	894221	894294	74	tRNA	56
CP000867.1	C6	564985	565059	75	tRNA	64
CP000867.1	C6	785641	785718	78	tRNA	61
CP000867.1	C6	1061109	1061183	75	tRNA	64
CP000745.1	C7	66209	66295	87	tRNA	62
CP000745.1	C7	1072456	1072533	78	tRNA	61
CP000745.1	C7	1072657	1072731	75	tRNA	61
CP000745.1	C7	1304236	1304312	77	tRNA	58
CP000867.1	C6	817982	818057	76	tRNA	59
CP000867.1	C6	961906	961979	74	tRNA	56
CP000867.1	C6	1298738	1298815	78	tRNA	60
CP000867.1	C6	1497621	1497697	77	tRNA	61
CP000609.1	C5	234698	234771	74	tRNA	59
CP000609.1	C5	1699971	1700047	77	tRNA	61
CP000609.1	C5	1700086	1700160	75	tRNA	60
CP000609.1	C5	1130350	1130434	85	tRNA	61
CP000609.1	C5	1430477	1430561	85	tRNA	56
CP000609.1	C5	1517099	1517173	75	tRNA	58
CP000609.1	C5	1517295	1517372	78	tRNA	58
CP000609.1	C5	1595585	1595657	73	tRNA	69
CP000609.1	C5	1699781	1699854	74	tRNA	56
CP000609.1	C5	97098	97174	77	tRNA	58
CP000609.1	C5	230567	230640	74	tRNA	71
CP000609.1	C5	234245	234332	88	tRNA	60
CP000609.1	C5	270889	270961	73	tRNA	63
CP000609.1	C5	1517548	1517621	74	tRNA	60
CP000609.1	C5	1517638	1517711	74	tRNA	59
CP000609.1	C5	1700176	1700250	75	tRNA	64
CP000609.1	C5	18404	18518	115	tRNA	60
CP000609.1	C5	1517720	1517796	77	tRNA	59
CP000609.1	C5	1549922	1549995	74	tRNA	63
CP000609.1	C5	18648	18732	85	tRNA	57
CP000609.1	C5	27698	27772	75	tRNA	64
CP000609.1	C5	270980	271052	73	tRNA	57
CP000609.1	C5	276057	276134	78	tRNA	60
CP000609.1	C5	1197828	1197906	79	tRNA	56
CP000609.1	C5	1197999	1198077	79	tRNA	56
CP000609.1	C5	1279335	1279411	77	tRNA	58
CP000609.1	C5	1282992	1283066	75	tRNA	64
CP000609.1	C5	1517196	1517269	74	tRNA	60
CP000609.1	C5	1700379	1700453	75	tRNA	65
CP000609.1	C5	1517843	1517916	74	tRNA	66
CP000609.1	C5	1700264	1700348	85	tRNA	56
CP000609.1	C5	1283094	1283171	78	tRNA	69
CP000609.1	C5	1549604	1549679	76	tRNA	60
CP000609.1	C5	492159	492235	77	tRNA	59
CP000609.1	C5	619706	619792	87	tRNA	62
CP000609.1	C5	846634	846707	74	tRNA	63
AF108356.1	JJ	1	74	74	tRNA	60
CP000745.1	C7	955713	955826	114	5S rRNA	50
CP000745.1	C7	955889	958845	2957	23S rRNA	53
CP000745.1	C7	958998	960462	1465	16S rRNA	57
CP000745.1	C7	992980	993093	114	5S rRNA	50
CP000745.1	C7	960929	963885	2957	23S rRNA	53
CP000745.1	C7	996345	997809	1465	16S rRNA	57
CP000867.1	C6	860834	863790	2957	23S rRNA	53
CP000867.1	C6	893064	896020	2957	23S rRNA	53
CP000867.1	C6	785735	785846	112	5S rRNA	56
CP000867.1	C6	896083	896196	114	5S rRNA	50
CP000867.1	C6	898105	901061	2957	23S rRNA	53
CP000867.1	C6	896488	897952	1465	16S rRNA	57
CP000867.1	C6	901124	901237	114	5S rRNA	50
CP000745.1	C7	960753	960866	114	5S rRNA	50
CP000745.1	C7	964038	965502	1465	16S rRNA	57
CP000745.1	C7	993156	996112	2957	23S rRNA	53
CP000745.1	C7	1072328	1072440	113	5S rRNA	56
CP000867.1	C6	859137	860601	1465	16S rRNA	57
CP000867.1	C6	863853	863966	114	5S rRNA	50
CP000867.1	C6	891447	892911	1465	16S rRNA	57
CP000609.1	C5	1517388	1517500	113	5S rRNA	56
CP000609.1	C5	1628713	1630177	1465	16S rRNA	57
CP000609.1	C5	1633352	1633465	114	5S rRNA	50
CP000609.1	C5	1638395	1638508	114	5S rRNA	50
CP000609.1	C5	1594066	1595530	1465	16S rRNA	57
CP000609.1	C5	1598785	1598898	114	5S rRNA	50
CP000609.1	C5	1635373	1638329	2957	23S rRNA	53
CP000609.1	C5	1595763	1598719	2957	23S rRNA	53
CP000609.1	C5	1633756	1635220	1465	16S rRNA	57
CP000609.1	C5	1630330	1633286	2957	23S rRNA	53
CP000867.1	C6	864022	864261	240	RNase P RNA	43
AB546257.1	Mic1c10	1	1402	1402	16S rRNA	57
AB546258.1	Mic4c08	1	1388	1388	16S rRNA	57
AB264796.1	KA1	1	1402	1402	16S rRNA	57
KC139247.1	NBRC	1	1400	1400	16S rRNA	57
JQ405263.1	IB1	1	1492	1492	16S rRNA	56
KF952474.1	OnlyE-A5	1	642	642	16S rRNA	58
AF192354.1	None	1	243	243	RNase P RNA	43
JQ346753.1	JJ	1	1262	1262	16S rRNA	57
HG323555.1	S2	1	287	287	SRP RNA	47
KF952473.1	OnlyE-A4	1	670	670	16S rRNA	58
CP000745.1	C7	730274	730580	307	SRP RNA	48
CP000867.1	C6	1099982	1100288	307	SRP RNA	48
CP000609.1	C5	64710	65016	307	SRP RNA	48
AP011526.1	KA1	111048	111122	75	tRNA	58
AP011526.1	KA1	194533	194617	85	tRNA	56
AP011526.1	KA1	335863	335937	75	tRNA	64
AP011526.1	KA1	391501	391579	79	tRNA	56
AP011526.1	KA1	466264	466348	85	tRNA	60
AP011526.1	KA1	1447258	1447332	75	tRNA	61
AP011526.1	KA1	1693139	1693253	115	tRNA	60
AP011526.1	KA1	1786165	1786239	75	tRNA	60
AP011526.1	KA1	1812689	1812852	164	tRNA	47
AP011528.1	OS7	747526	747612	87	tRNA	62
AP011528.1	OS7	1689451	1689525	75	tRNA	60
AP011528.1	OS7	213337	213421	85	tRNA	56
AP011528.1	OS7	1350056	1350130	75	tRNA	61
AP011528.1	OS7	1355422	1355494	73	tRNA	57
AP011528.1	OS7	1355513	1355585	73	tRNA	63
AP011528.1	OS7	1388807	1388880	74	tRNA	58
AP011528.1	OS7	1389278	1389365	88	tRNA	60
AP011528.1	OS7	1516058	1516134	77	tRNA	58
AP011526.1	KA1	77171	77244	74	tRNA	63
AP011526.1	KA1	77504	77579	76	tRNA	60
AP011526.1	KA1	110630	110706	77	tRNA	59
AP011526.1	KA1	111250	111324	75	tRNA	58
AP011526.1	KA1	1682888	1682962	75	tRNA	62
AP011528.1	OS7	1596418	1596532	115	tRNA	60
AP011528.1	OS7	1689362	1689436	75	tRNA	64
AP011526.1	KA1	35346	35418	73	tRNA	69
AP011526.1	KA1	110510	110583	74	tRNA	66
AP011526.1	KA1	110803	110876	74	tRNA	60
AP011526.1	KA1	111156	111229	74	tRNA	60
AP011526.1	KA1	391741	391819	79	tRNA	56
AP011526.1	KA1	1452624	1452696	73	tRNA	57
AP011526.1	KA1	1486010	1486083	74	tRNA	58
AP011526.1	KA1	1490178	1490251	74	tRNA	71
AP011526.1	KA1	1692925	1693009	85	tRNA	57
AP011526.1	KA1	1786471	1786544	74	tRNA	56
AP011526.1	KA1	1829287	1829372	86	tRNA	59
AP011528.1	OS7	129326	129399	74	tRNA	66
AP011528.1	OS7	129446	129522	77	tRNA	59
AP011528.1	OS7	130066	130140	75	tRNA	58
AP011528.1	OS7	1689564	1689640	77	tRNA	61
AP011528.1	OS7	358877	358953	77	tRNA	58
AP011528.1	OS7	716066	716139	74	tRNA	63
AP011526.1	KA1	335758	335835	78	tRNA	69
AP011526.1	KA1	1612650	1612726	77	tRNA	58
AP011526.1	KA1	1785978	1786062	85	tRNA	56
AP011528.1	OS7	1392971	1393044	74	tRNA	71
AP011528.1	OS7	1586298	1586372	75	tRNA	62
AP011526.1	KA1	1786278	1786354	77	tRNA	61
AP011528.1	OS7	53805	53877	73	tRNA	69
AP011528.1	OS7	96321	96396	76	tRNA	60
AP011528.1	OS7	129531	129604	74	tRNA	59
AP011528.1	OS7	129864	129938	75	tRNA	58
AP011528.1	OS7	129972	130045	74	tRNA	60
AP011528.1	OS7	355119	355196	78	tRNA	69
AP011528.1	OS7	355224	355298	75	tRNA	64
AP011528.1	OS7	381233	381311	79	tRNA	56
AP011528.1	OS7	1596204	1596288	85	tRNA	57
AP011528.1	OS7	1689160	1689234	75	tRNA	65
AP011528.1	OS7	95988	96061	74	tRNA	63
AP011528.1	OS7	129619	129692	74	tRNA	60
AP011528.1	OS7	1716104	1716267	164	tRNA	48
AP011528.1	OS7	1732705	1732790	86	tRNA	59
AP011528.1	OS7	452094	452178	85	tRNA	60
AP011528.1	OS7	1140524	1140597	74	tRNA	60
AP011528.1	OS7	1689264	1689348	85	tRNA	56
AP011526.1	KA1	110715	110788	74	tRNA	59
AP011526.1	KA1	765522	765608	87	tRNA	62
AP011526.1	KA1	1452715	1452787	73	tRNA	63
AP011526.1	KA1	1486485	1486572	88	tRNA	60
AP011526.1	KA1	1785874	1785948	75	tRNA	65
AP011526.1	KA1	1786076	1786150	75	tRNA	64
AP011528.1	OS7	1689757	1689830	74	tRNA	56
AP011526.1	KA1	339516	339592	77	tRNA	58
AP011526.1	KA1	734062	734135	74	tRNA	63
AP011526.1	KA1	1208032	1208105	74	tRNA	60
AP011526.1	KA1	35522	36913	1392	16S rRNA	57
AP011526.1	KA1	110917	111031	115	5S rRNA	49
AP011528.1	OS7	50566	50680	115	5S rRNA	49
AP011526.1	KA1	3402	4793	1392	16S rRNA	57
AP011528.1	OS7	53981	55372	1392	16S rRNA	57
AP011526.1	KA1	68	182	115	5S rRNA	49
AP011528.1	OS7	68	182	115	5S rRNA	49
AP011528.1	OS7	50742	53698	2957	23S rRNA	53
AP011528.1	OS7	244	3200	2957	23S rRNA	52
AP011528.1	OS7	3402	4793	1392	16S rRNA	57
AP011528.1	OS7	129733	129847	115	5S rRNA	49
AP011526.1	KA1	244	3200	2957	23S rRNA	53
AP011526.1	KA1	32107	32221	115	5S rRNA	49
AP011526.1	KA1	32283	35239	2957	23S rRNA	53
AP011526.1	KA1	31816	32045	230	RNase P RNA	43
AP011528.1	OS7	50275	50504	230	RNase P RNA	43
HG323552.1	C5	1	306	306	SRP RNA	48
HG323554.1	C7	1	305	305	SRP RNA	48
HG323553.1	C6	1	285	285	SRP RNA	48
HG985717.1	None	1	74	74	tRNA	59
HG985721.1	None	1	78	78	tRNA	69
HG985761.1	None	1	74	74	tRNA	59
HG985762.1	None	1	76	76	tRNA	59
HG985764.1	None	1	75	75	tRNA	64
HG985899.1	None	1	85	85	tRNA	62
HG985733.1	None	1	85	85	tRNA	57
HG985734.1	None	1	85	85	tRNA	56
HG985735.1	None	1	85	85	tRNA	56
HG985791.1	None	1	74	74	tRNA	63
HG985793.1	None	1	78	78	tRNA	69
HG985796.1	None	1	75	75	tRNA	61
HG985798.1	None	1	76	76	tRNA	59
HG985799.1	None	1	75	75	tRNA	64
HG985801.1	None	1	73	73	tRNA	63
HG985824.1	None	1	76	76	tRNA	56
HG985883.1	None	1	75	75	tRNA	64
HG985888.1	None	1	75	75	tRNA	62
HG985893.1	None	1	74	74	tRNA	60
HG985898.1	None	1	77	77	tRNA	59
HG985900.1	None	1	88	88	tRNA	60
HG985904.1	None	1	74	74	tRNA	59
HG985906.1	None	1	77	77	tRNA	58
AP011526.1	KA1	1643294	1643600	307	SRP RNA	48
AP011528.1	OS7	1546702	1547008	307	SRP RNA	48
HG985719.1	None	1	74	74	tRNA	63
HG985725.1	None	1	74	74	tRNA	59
HG985726.1	None	1	76	76	tRNA	60
HG985730.1	None	1	73	73	tRNA	57
HG985731.1	None	1	75	75	tRNA	65
HG985750.1	None	1	77	77	tRNA	58
HG985752.1	None	1	79	79	tRNA	56
HG985754.1	None	1	73	73	tRNA	69
HG985755.1	None	1	74	74	tRNA	63
HG985756.1	None	1	75	75	tRNA	61
HG985757.1	None	1	78	78	tRNA	67
HG985758.1	None	1	77	77	tRNA	61
HG985759.1	None	1	75	75	tRNA	61
HG985763.1	None	1	75	75	tRNA	64
HG985772.1	None	1	74	74	tRNA	60
HG985790.1	None	1	73	73	tRNA	69
HG985795.1	None	1	75	75	tRNA	61
HG985874.1	None	1	73	73	tRNA	69
HG985875.1	None	1	74	74	tRNA	63
HG985878.1	None	1	77	77	tRNA	61
HG985881.1	None	1	74	74	tRNA	59
HG985882.1	None	1	76	76	tRNA	60
HG985751.1	None	1	79	79	tRNA	56
HG985760.1	None	1	75	75	tRNA	61
HG985766.1	None	1	73	73	tRNA	57
HG985768.1	None	1	75	75	tRNA	64
HG985769.1	None	1	85	85	tRNA	57
HG985770.1	None	1	85	85	tRNA	56
HG985785.1	None	1	77	77	tRNA	58
HG985786.1	None	1	77	77	tRNA	58
HG985787.1	None	1	79	79	tRNA	56
HG985806.1	None	1	85	85	tRNA	56
HG985886.1	None	1	73	73	tRNA	57
HG985891.1	None	1	85	85	tRNA	56
HG985722.1	None	1	77	77	tRNA	61
HG985723.1	None	1	75	75	tRNA	58
HG985728.1	None	1	75	75	tRNA	64
HG985729.1	None	1	73	73	tRNA	63
HG985743.1	None	1	85	85	tRNA	61
HG985745.1	None	1	87	87	tRNA	62
HG985746.1	None	1	74	74	tRNA	63
HG985789.1	None	1	74	74	tRNA	60
HG985794.1	None	1	77	77	tRNA	61
HG985873.1	None	1	74	74	tRNA	60
HG985897.1	None	1	74	74	tRNA	71
HG985901.1	None	1	87	87	tRNA	62
HG985903.1	None	1	74	74	tRNA	66
HG985905.1	None	1	77	77	tRNA	58
HG985907.1	None	1	79	79	tRNA	56
HG985908.1	None	1	79	79	tRNA	56
HG985749.1	None	1	77	77	tRNA	58
HG985776.1	None	1	74	74	tRNA	56
HG985777.1	None	1	74	74	tRNA	71
HG985778.1	None	1	77	77	tRNA	59
HG985781.1	None	1	87	87	tRNA	62
HG985784.1	None	1	74	74	tRNA	59
HG985807.1	None	1	85	85	tRNA	56
HG985809.1	None	1	74	74	tRNA	60
HG985810.1	None	1	75	75	tRNA	60
HG985813.1	None	1	74	74	tRNA	71
HG985814.1	None	1	77	77	tRNA	59
HG985818.1	None	1	74	74	tRNA	63
HG985819.1	None	1	74	74	tRNA	66
HG985890.1	None	1	85	85	tRNA	56
HG985741.1	None	1	74	74	tRNA	71
HG985742.1	None	1	77	77	tRNA	59
HG985803.1	None	1	75	75	tRNA	65
HG985805.1	None	1	85	85	tRNA	57
HG985812.1	None	1	74	74	tRNA	56
HG985821.1	None	1	77	77	tRNA	58
HG985822.1	None	1	77	77	tRNA	58
HG985765.1	None	1	73	73	tRNA	63
HG985767.1	None	1	75	75	tRNA	65
HG985771.1	None	1	85	85	tRNA	56
HG985773.1	None	1	74	74	tRNA	60
HG985774.1	None	1	75	75	tRNA	60
HG985779.1	None	1	85	85	tRNA	63
HG985780.1	None	1	88	88	tRNA	60
HG985782.1	None	1	74	74	tRNA	63
HG985783.1	None	1	74	74	tRNA	66
HG985724.1	None	1	75	75	tRNA	58
HG985736.1	None	1	74	74	tRNA	60
HG985737.1	None	1	74	74	tRNA	60
HG985738.1	None	1	75	75	tRNA	60
HG985740.1	None	1	74	74	tRNA	56
HG985808.1	None	1	74	74	tRNA	60
HG985815.1	None	1	85	85	tRNA	63
HG985816.1	None	1	88	88	tRNA	60
HG985817.1	None	1	87	87	tRNA	62
HG985877.1	None	1	78	78	tRNA	69
HG985887.1	None	1	75	75	tRNA	65
HG985889.1	None	1	85	85	tRNA	57
HG985748.1	None	1	74	74	tRNA	59
HG985753.1	None	1	74	74	tRNA	60
HG985788.1	None	1	76	76	tRNA	56
HG985792.1	None	1	75	75	tRNA	61
HG985797.1	None	1	74	74	tRNA	59
HG985800.1	None	1	75	75	tRNA	64
HG985802.1	None	1	73	73	tRNA	57
HG985804.1	None	1	75	75	tRNA	64
HG985902.1	None	1	74	74	tRNA	63
HG985718.1	None	1	73	73	tRNA	69
HG985720.1	None	1	75	75	tRNA	61
HG985727.1	None	1	75	75	tRNA	64
HG985732.1	None	1	75	75	tRNA	64
HG985744.1	None	1	88	88	tRNA	60
HG985747.1	None	1	74	74	tRNA	66
HG985820.1	None	1	74	74	tRNA	59
HG985823.1	None	1	79	79	tRNA	56
HG985876.1	None	1	75	75	tRNA	61
HG985879.1	None	1	75	75	tRNA	58
HG985880.1	None	1	75	75	tRNA	58
HG985884.1	None	1	75	75	tRNA	64
HG985885.1	None	1	73	73	tRNA	63
HG985892.1	None	1	74	74	tRNA	60
HG985894.1	None	1	75	75	tRNA	60
HG985896.1	None	1	74	74	tRNA	56
